epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,988.771,1.55277,1.12665,1.192,0.52448,0.45884,0.44072,0.23358,1.56883,1.29165,1.21301,0.000462281,0.000462281,0.000462281
43,1012.16,1.55578,1.11955,1.18478,0.51359,0.46837,0.42732,0.2282,1.55035,1.33528,1.18907,0.000438703,0.000438703,0.000438703
44,1035.32,1.54314,1.09719,1.169,0.5208,0.4866,0.44944,0.23985,1.55736,1.31069,1.1997,0.000415124,0.000415124,0.000415124
45,1058.48,1.56533,1.11453,1.18098,0.53592,0.46732,0.44077,0.23297,1.5683,1.33378,1.20425,0.000391546,0.000391546,0.000391546
46,1081.5,1.54149,1.09274,1.1716,0.5222,0.47859,0.45148,0.24115,1.5425,1.27282,1.20211,0.000367967,0.000367967,0.000367967
47,1104.67,1.53693,1.08615,1.1723,0.50743,0.51034,0.45183,0.23909,1.55133,1.32595,1.20166,0.000344389,0.000344389,0.000344389
48,1127.67,1.528,1.08316,1.16693,0.50961,0.50719,0.45049,0.2418,1.53532,1.30314,1.191,0.00032081,0.00032081,0.00032081
49,1151.38,1.53341,1.07903,1.16836,0.51386,0.49054,0.43936,0.23436,1.55913,1.35333,1.2107,0.000297232,0.000297232,0.000297232
50,1174.71,1.52665,1.08269,1.1741,0.54272,0.49269,0.45833,0.24857,1.52246,1.31327,1.19139,0.000273654,0.000273654,0.000273654
51,1212.89,1.4836,1.01046,1.15142,0.52152,0.51085,0.45374,0.24183,1.52985,1.29088,1.19586,0.000250075,0.000250075,0.000250075
52,1235.4,1.45598,0.97744,1.14015,0.53101,0.49154,0.45927,0.24555,1.53458,1.25675,1.18899,0.000226497,0.000226497,0.000226497
53,1257.97,1.45271,0.96505,1.13806,0.53124,0.5014,0.4608,0.247,1.52916,1.27085,1.2041,0.000202918,0.000202918,0.000202918
54,1280.66,1.43575,0.95099,1.13128,0.53359,0.49972,0.45976,0.24452,1.54108,1.25879,1.19212,0.00017934,0.00017934,0.00017934
55,1303.13,1.43552,0.94524,1.13454,0.56165,0.48251,0.46478,0.24957,1.52798,1.24954,1.17612,0.000155761,0.000155761,0.000155761
56,1325.76,1.4394,0.93706,1.1274,0.5564,0.48295,0.46141,0.24906,1.52012,1.25426,1.18072,0.000132183,0.000132183,0.000132183
57,1348.28,1.42814,0.92702,1.12086,0.54697,0.49102,0.46425,0.25104,1.51603,1.26048,1.1808,0.000108604,0.000108604,0.000108604
58,1370.84,1.41868,0.92287,1.12208,0.54107,0.49463,0.46142,0.25245,1.50023,1.26172,1.17488,8.50255e-05,8.50255e-05,8.50255e-05
59,1393.53,1.43561,0.92478,1.12145,0.54309,0.48545,0.46446,0.25156,1.50086,1.26511,1.1721,6.1447e-05,6.1447e-05,6.1447e-05
60,1415.96,1.40881,0.91024,1.11385,0.53823,0.49569,0.46671,0.25488,1.49506,1.26085,1.1742,3.78685e-05,3.78685e-05,3.78685e-05
