timestamp,gpu_index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw
2026-08-18T20:51:45+00:00,0,0,1122,12282,51,29.17
2026-08-18T20:51:50+00:00,0,1,1144,12282,49,21.70
2026-08-18T20:51:55+00:00,0,2,1144,12282,48,20.57
2026-08-18T20:52:00+00:00,0,2,1144,12282,47,19.93
2026-08-18T20:52:05+00:00,0,0,1144,12282,46,19.62
2026-08-18T20:52:10+00:00,0,0,1144,12282,46,19.68
2026-08-18T20:52:15+00:00,0,0,1144,12282,46,19.23
2026-08-18T20:52:20+00:00,0,0,1720,12282,45,21.59
2026-08-18T20:52:25+00:00,0,0,3042,12282,45,22.17
2026-08-18T20:52:30+00:00,0,83,7256,12282,59,136.50
2026-08-18T20:52:35+00:00,0,86,7732,12282,63,154.66
2026-08-18T20:52:40+00:00,0,82,8360,12282,68,155.91
2026-08-18T20:52:45+00:00,0,89,8360,12282,67,159.56
2026-08-18T20:52:51+00:00,0,0,8360,12282,59,131.21
2026-08-18T20:52:56+00:00,0,87,6022,12282,69,135.67
2026-08-18T20:53:01+00:00,0,77,6022,12282,71,157.36
2026-08-18T20:53:06+00:00,0,65,6550,12282,69,157.01
2026-08-18T20:53:11+00:00,0,84,6550,12282,72,165.13
2026-08-18T20:53:16+00:00,0,85,6550,12282,73,160.26
2026-08-18T20:53:21+00:00,0,87,6558,12282,72,164.03
2026-08-18T20:53:26+00:00,0,85,6558,12282,72,163.88
2026-08-18T20:53:31+00:00,0,93,6558,12282,73,165.38
2026-08-18T20:53:36+00:00,0,82,6558,12282,73,164.27
2026-08-18T20:53:41+00:00,0,49,6558,12282,63,113.84
2026-08-18T20:53:46+00:00,0,88,6558,12282,73,164.45
2026-08-18T20:53:51+00:00,0,87,6558,12282,72,163.84
2026-08-18T20:53:56+00:00,0,76,6558,12282,73,166.28
2026-08-18T20:54:01+00:00,0,82,6558,12282,74,164.08
2026-08-18T20:54:07+00:00,0,87,6558,12282,71,161.57
2026-08-18T20:54:12+00:00,0,88,6558,12282,72,165.82
2026-08-18T20:54:17+00:00,0,83,7406,12282,74,166.07
2026-08-18T20:54:22+00:00,0,77,7406,12282,74,164.41
2026-08-18T20:54:27+00:00,0,85,5666,12282,67,109.97
2026-08-18T20:54:32+00:00,0,82,6048,12282,71,163.27
2026-08-18T20:54:37+00:00,0,88,6048,12282,73,164.60
2026-08-18T20:54:42+00:00,0,82,6302,12282,74,166.88
2026-08-18T20:54:47+00:00,0,86,6302,12282,74,165.88
2026-08-18T20:54:52+00:00,0,80,6302,12282,70,98.40
2026-08-18T20:54:57+00:00,0,91,6974,12282,73,166.27
2026-08-18T20:55:02+00:00,0,97,6974,12282,72,165.76
2026-08-18T20:55:07+00:00,0,83,6974,12282,70,165.04
2026-08-18T20:55:12+00:00,0,68,2842,12282,66,162.24
2026-08-18T20:55:18+00:00,0,87,5870,12282,72,162.69
2026-08-18T20:55:23+00:00,0,87,6704,12282,74,164.71
2026-08-18T20:55:28+00:00,0,89,6704,12282,71,166.20
2026-08-18T20:55:33+00:00,0,73,6704,12282,74,164.66
2026-08-18T20:55:38+00:00,0,47,6704,12282,69,115.13
2026-08-18T20:55:43+00:00,0,87,6704,12282,74,165.17
2026-08-18T20:55:48+00:00,0,88,6704,12282,74,163.34
2026-08-18T20:55:53+00:00,0,89,6704,12282,73,166.59
2026-08-18T20:55:58+00:00,0,87,6704,12282,73,165.98
2026-08-18T20:56:03+00:00,0,88,7006,12282,72,162.28
2026-08-18T20:56:08+00:00,0,75,7006,12282,73,165.06
2026-08-18T20:56:13+00:00,0,88,7006,12282,74,165.18
2026-08-18T20:56:18+00:00,0,88,7006,12282,72,167.06
2026-08-18T20:56:23+00:00,0,24,5688,12282,67,101.42
2026-08-18T20:56:28+00:00,0,87,6136,12282,72,163.33
2026-08-18T20:56:34+00:00,0,88,6424,12282,73,161.22
2026-08-18T20:56:39+00:00,0,83,6424,12282,72,163.05
2026-08-18T20:56:44+00:00,0,91,6424,12282,74,161.25
2026-08-18T20:56:49+00:00,0,94,6424,12282,70,102.89
2026-08-18T20:56:54+00:00,0,87,6704,12282,73,163.04
2026-08-18T20:56:59+00:00,0,79,6704,12282,73,161.70
2026-08-18T20:57:04+00:00,0,97,6704,12282,74,163.68
2026-08-18T20:57:09+00:00,0,78,6704,12282,71,163.23
2026-08-18T20:57:14+00:00,0,88,6704,12282,72,163.63
2026-08-18T20:57:19+00:00,0,83,7020,12282,74,165.56
2026-08-18T20:57:24+00:00,0,89,7020,12282,71,165.79
2026-08-18T20:57:29+00:00,0,84,7020,12282,74,165.74
2026-08-18T20:57:34+00:00,0,69,5702,12282,64,118.62
2026-08-18T20:57:39+00:00,0,82,6196,12282,72,166.66
2026-08-18T20:57:44+00:00,0,94,6196,12282,74,165.88
2026-08-18T20:57:49+00:00,0,89,6424,12282,71,167.18
2026-08-18T20:57:55+00:00,0,87,6424,12282,74,166.46
2026-08-18T20:58:00+00:00,0,97,6728,12282,72,162.30
2026-08-18T20:58:05+00:00,0,83,6728,12282,71,163.44
2026-08-18T20:58:10+00:00,0,85,6728,12282,72,162.86
2026-08-18T20:58:15+00:00,0,87,6728,12282,73,164.40
2026-08-18T20:58:20+00:00,0,33,6728,12282,71,112.64
2026-08-18T20:58:25+00:00,0,91,7038,12282,73,162.21
2026-08-18T20:58:30+00:00,0,88,7038,12282,72,164.23
2026-08-18T20:58:35+00:00,0,87,7038,12282,72,165.87
2026-08-18T20:58:40+00:00,0,88,7038,12282,72,165.40
2026-08-18T20:58:45+00:00,0,92,6176,12282,70,94.03
2026-08-18T20:58:50+00:00,0,87,6432,12282,73,164.82
2026-08-18T20:58:55+00:00,0,75,6432,12282,74,165.10
2026-08-18T20:59:00+00:00,0,88,6432,12282,74,164.59
2026-08-18T20:59:05+00:00,0,83,6688,12282,71,162.71
2026-08-18T20:59:10+00:00,0,76,6688,12282,71,163.23
2026-08-18T20:59:15+00:00,0,77,6688,12282,73,163.64
2026-08-18T20:59:21+00:00,0,87,6688,12282,74,166.51
2026-08-18T20:59:26+00:00,0,86,6688,12282,73,166.42
2026-08-18T20:59:31+00:00,0,9,6688,12282,62,110.83
2026-08-18T20:59:36+00:00,0,85,6688,12282,70,166.89
2026-08-18T20:59:41+00:00,0,85,6688,12282,74,165.55
2026-08-18T20:59:46+00:00,0,84,6688,12282,73,167.38
2026-08-18T20:59:51+00:00,0,73,6688,12282,74,164.00
2026-08-18T20:59:56+00:00,0,93,6688,12282,70,162.70
2026-08-18T21:00:01+00:00,0,94,6688,12282,73,164.02
2026-08-18T21:00:06+00:00,0,78,6688,12282,73,164.61
2026-08-18T21:00:11+00:00,0,92,6688,12282,73,165.85
2026-08-18T21:00:16+00:00,0,60,6688,12282,64,112.61
2026-08-18T21:00:21+00:00,0,88,6688,12282,73,164.73
2026-08-18T21:00:26+00:00,0,78,6688,12282,74,165.09
2026-08-18T21:00:31+00:00,0,94,6688,12282,73,166.90
2026-08-18T21:00:36+00:00,0,79,6688,12282,73,164.04
