timestamp,gpu_index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw
2026-08-18T19:55:59+00:00,0,8,1508,12282,44,22.27
2026-08-18T19:56:04+00:00,0,0,1815,12282,45,38.32
2026-08-18T19:56:09+00:00,0,0,1815,12282,43,21.06
2026-08-18T19:56:14+00:00,0,0,1815,12282,43,19.12
2026-08-18T19:56:19+00:00,0,0,1815,12282,43,18.59
2026-08-18T19:56:24+00:00,0,0,1815,12282,42,18.92
2026-08-18T19:56:29+00:00,0,0,1815,12282,42,19.01
2026-08-18T19:56:34+00:00,0,0,1815,12282,42,19.47
2026-08-18T19:56:39+00:00,0,88,7733,12282,58,126.52
2026-08-18T19:56:44+00:00,0,85,8209,12282,62,152.96
2026-08-18T19:56:49+00:00,0,74,8837,12282,66,154.63
2026-08-18T19:56:55+00:00,0,82,8837,12282,68,157.76
2026-08-18T19:57:00+00:00,0,60,4503,12282,57,79.56
2026-08-18T19:57:05+00:00,0,79,6749,12282,65,157.33
2026-08-18T19:57:10+00:00,0,84,6749,12282,69,157.71
2026-08-18T19:57:15+00:00,0,79,7013,12282,70,160.67
2026-08-18T19:57:20+00:00,0,82,7013,12282,70,160.70
2026-08-18T19:57:25+00:00,0,47,7015,12282,68,107.93
2026-08-18T19:57:30+00:00,0,86,7025,12282,69,164.02
2026-08-18T19:57:35+00:00,0,83,7025,12282,72,163.64
2026-08-18T19:57:40+00:00,0,76,7025,12282,70,162.60
2026-08-18T19:57:45+00:00,0,36,7025,12282,63,141.36
2026-08-18T19:57:50+00:00,0,95,7025,12282,71,163.71
2026-08-18T19:57:55+00:00,0,88,7042,12282,71,163.61
2026-08-18T19:58:00+00:00,0,87,7025,12282,69,165.13
2026-08-18T19:58:05+00:00,0,78,7025,12282,71,163.16
2026-08-18T19:58:11+00:00,0,88,7025,12282,69,101.47
2026-08-18T19:58:16+00:00,0,77,7025,12282,72,163.45
2026-08-18T19:58:21+00:00,0,95,7449,12282,72,165.05
