epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,752.11,1.63131,1.2228,1.21601,0.52908,0.425,0.41736,0.21119,1.6308,1.37904,1.2195,0.000650909,0.000650909,0.000650909
35,773.996,1.60862,1.20041,1.21591,0.50284,0.46781,0.42046,0.21292,1.64702,1.36179,1.22968,0.000627331,0.000627331,0.000627331
36,796.013,1.60995,1.18007,1.20224,0.54011,0.457,0.43622,0.21555,1.67026,1.35857,1.22227,0.000603752,0.000603752,0.000603752
37,818.023,1.59739,1.17634,1.20037,0.53177,0.45043,0.42164,0.21859,1.62163,1.39059,1.22151,0.000580174,0.000580174,0.000580174
38,840.261,1.607,1.15662,1.18795,0.5457,0.47257,0.4447,0.23326,1.58636,1.29884,1.2015,0.000556595,0.000556595,0.000556595
39,862.376,1.58768,1.16061,1.19689,0.52677,0.4543,0.42853,0.21785,1.6172,1.34544,1.20543,0.000533017,0.000533017,0.000533017
40,884.347,1.59172,1.15118,1.18771,0.54845,0.45253,0.42002,0.20551,1.68864,1.36408,1.2315,0.000509438,0.000509438,0.000509438
41,906.108,1.575,1.15596,1.19166,0.55218,0.46526,0.44967,0.22842,1.63582,1.34297,1.21957,0.00048586,0.00048586,0.00048586
42,927.801,1.55094,1.12472,1.18881,0.53198,0.46293,0.43193,0.21444,1.66737,1.34783,1.22087,0.000462281,0.000462281,0.000462281
43,949.737,1.56045,1.11901,1.18386,0.52533,0.46667,0.42331,0.21248,1.61095,1.35421,1.2156,0.000438703,0.000438703,0.000438703
44,971.665,1.54605,1.10041,1.16716,0.53119,0.46324,0.43939,0.22473,1.59218,1.31445,1.20738,0.000415124,0.000415124,0.000415124
45,993.574,1.56516,1.11385,1.17804,0.53766,0.47489,0.45172,0.22668,1.63624,1.31723,1.20937,0.000391546,0.000391546,0.000391546
46,1015.38,1.5407,1.09663,1.16974,0.52909,0.48864,0.45027,0.2329,1.58226,1.2892,1.19227,0.000367967,0.000367967,0.000367967
47,1037.21,1.5379,1.08776,1.16959,0.552,0.47281,0.44847,0.23112,1.57575,1.29961,1.18716,0.000344389,0.000344389,0.000344389
48,1059.02,1.53502,1.08675,1.16704,0.53439,0.49058,0.45267,0.23296,1.57099,1.29086,1.18386,0.00032081,0.00032081,0.00032081
49,1081.36,1.53621,1.08444,1.16594,0.54698,0.48876,0.45268,0.23586,1.55371,1.29716,1.18828,0.000297232,0.000297232,0.000297232
50,1103.31,1.52927,1.08984,1.17362,0.57461,0.46728,0.45757,0.23536,1.57692,1.29591,1.1921,0.000273654,0.000273654,0.000273654
51,1137.46,1.49498,1.01423,1.15203,0.52289,0.49812,0.45414,0.23184,1.60571,1.29362,1.20289,0.000250075,0.000250075,0.000250075
52,1158.54,1.4659,0.98537,1.14115,0.55466,0.48397,0.4548,0.23582,1.58259,1.27971,1.19157,0.000226497,0.000226497,0.000226497
53,1179.74,1.46793,0.97501,1.14392,0.53599,0.4946,0.4532,0.23194,1.59674,1.28848,1.19587,0.000202918,0.000202918,0.000202918
54,1200.87,1.4469,0.95913,1.13406,0.55362,0.49416,0.46025,0.23664,1.59705,1.28032,1.20598,0.00017934,0.00017934,0.00017934
55,1222.13,1.44934,0.95657,1.14003,0.56693,0.47543,0.45924,0.24031,1.567,1.29322,1.19143,0.000155761,0.000155761,0.000155761
56,1243.56,1.45199,0.95282,1.13103,0.55647,0.4838,0.45997,0.24036,1.56519,1.28113,1.18686,0.000132183,0.000132183,0.000132183
57,1264.79,1.43769,0.93856,1.12291,0.5469,0.50065,0.46206,0.23994,1.57216,1.28542,1.18728,0.000108604,0.000108604,0.000108604
58,1286.02,1.43795,0.93494,1.12894,0.56367,0.48658,0.45872,0.24235,1.54139,1.27452,1.1823,8.50255e-05,8.50255e-05,8.50255e-05
59,1307.36,1.44753,0.93478,1.12528,0.56953,0.48981,0.46686,0.23872,1.58651,1.2758,1.19543,6.1447e-05,6.1447e-05,6.1447e-05
60,1328.49,1.42567,0.92026,1.12072,0.56411,0.49362,0.46594,0.2418,1.56387,1.27408,1.1846,3.78685e-05,3.78685e-05,3.78685e-05
