epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1967,2.13775,2.69364,1.47051,0.31739,0.32002,0.20271,0.07457,2.26927,3.03573,1.52997,0.000472979,0.000472979,0.000472979
2,49.8275,2.00476,2.04799,1.42212,0.30764,0.32338,0.23992,0.09439,2.16989,2.39024,1.53954,0.000933649,0.000933649,0.000933649
3,71.979,1.9745,1.87837,1.40549,0.30373,0.30599,0.22174,0.08801,2.12412,2.35122,1.45805,0.0013786,0.0013786,0.0013786
4,94.136,1.97037,1.84068,1.40321,0.28643,0.3015,0.22191,0.07538,2.20298,2.36209,1.50519,0.00135826,0.00135826,0.00135826
5,116.204,1.9154,1.7524,1.38202,0.33206,0.28144,0.21359,0.08072,2.18957,2.39903,1.52069,0.00133469,0.00133469,0.00133469
6,138.34,1.88478,1.67855,1.36379,0.40656,0.36069,0.28682,0.12521,1.98906,1.82396,1.44821,0.00131111,0.00131111,0.00131111
7,160.373,1.87383,1.63539,1.34938,0.40583,0.33597,0.26922,0.09589,2.23083,1.96564,1.54902,0.00128753,0.00128753,0.00128753
8,182.335,1.86462,1.63395,1.35081,0.3955,0.30252,0.2586,0.10351,2.06941,2.1697,1.48072,0.00126395,0.00126395,0.00126395
9,204.241,1.8532,1.58601,1.33552,0.37889,0.36065,0.29844,0.12382,2.0078,1.84337,1.40098,0.00124037,0.00124037,0.00124037
10,226.317,1.82286,1.54541,1.31746,0.38835,0.35818,0.29726,0.14594,1.81335,1.82818,1.33661,0.00121679,0.00121679,0.00121679
11,248.425,1.80894,1.53024,1.31934,0.4531,0.37189,0.33847,0.15536,1.89048,1.70928,1.36227,0.00119322,0.00119322,0.00119322
12,270.418,1.78611,1.49304,1.31287,0.44247,0.38645,0.33639,0.14944,1.88047,1.69888,1.37423,0.00116964,0.00116964,0.00116964
13,292.208,1.79104,1.51652,1.31864,0.45089,0.37806,0.32954,0.14896,1.84196,1.59747,1.3604,0.00114606,0.00114606,0.00114606
14,313.974,1.77254,1.46474,1.29322,0.48478,0.42494,0.36841,0.16014,1.92356,1.62266,1.36218,0.00112248,0.00112248,0.00112248
15,335.957,1.77181,1.45337,1.29537,0.44937,0.39851,0.34458,0.15969,1.8,1.63989,1.32567,0.0010989,0.0010989,0.0010989
16,357.82,1.75488,1.43983,1.28835,0.46428,0.3866,0.34681,0.15371,1.96302,1.57244,1.37979,0.00107532,0.00107532,0.00107532
17,379.642,1.75381,1.42691,1.28944,0.4602,0.40453,0.35265,0.16917,1.74574,1.56778,1.28122,0.00105174,0.00105174,0.00105174
18,401.54,1.73869,1.39208,1.2692,0.471,0.40096,0.36623,0.16732,1.84566,1.51186,1.31985,0.00102817,0.00102817,0.00102817
19,423.357,1.72244,1.38634,1.27071,0.47728,0.41648,0.38117,0.18956,1.69874,1.48525,1.2816,0.00100459,0.00100459,0.00100459
20,445.414,1.70856,1.36698,1.26482,0.48936,0.38002,0.34531,0.15368,1.87101,1.60703,1.3504,0.000981008,0.000981008,0.000981008
21,467.337,1.70022,1.33056,1.24976,0.46016,0.39621,0.3714,0.1782,1.77505,1.53445,1.30516,0.00095743,0.00095743,0.00095743
22,489.127,1.69496,1.33822,1.2534,0.48158,0.43738,0.37383,0.1848,1.73969,1.50917,1.28985,0.000933851,0.000933851,0.000933851
23,510.933,1.70252,1.33542,1.25653,0.49169,0.42513,0.38638,0.193,1.65519,1.44938,1.24065,0.000910273,0.000910273,0.000910273
24,532.927,1.68151,1.3128,1.25339,0.46379,0.42988,0.38026,0.18611,1.73089,1.46774,1.26326,0.000886694,0.000886694,0.000886694
25,554.869,1.68715,1.29844,1.24146,0.5192,0.45407,0.39798,0.19345,1.67099,1.41735,1.25315,0.000863116,0.000863116,0.000863116
26,576.933,1.66857,1.27795,1.2328,0.49271,0.45088,0.40242,0.20028,1.67647,1.50361,1.24413,0.000839537,0.000839537,0.000839537
27,598.773,1.65723,1.27247,1.23535,0.49376,0.4495,0.39415,0.18223,1.79992,1.49485,1.30333,0.000815959,0.000815959,0.000815959
28,620.658,1.66264,1.28577,1.23983,0.49271,0.45116,0.40189,0.18542,1.7933,1.47063,1.28294,0.00079238,0.00079238,0.00079238
29,642.789,1.64761,1.26793,1.23224,0.49981,0.43037,0.40157,0.19574,1.70333,1.43286,1.25434,0.000768802,0.000768802,0.000768802
30,664.418,1.64324,1.25018,1.23064,0.5034,0.43271,0.40827,0.19124,1.74372,1.40665,1.26652,0.000745223,0.000745223,0.000745223
31,686.302,1.65226,1.24324,1.22407,0.49076,0.44401,0.39457,0.19464,1.68167,1.45387,1.24582,0.000721645,0.000721645,0.000721645
32,708.03,1.64504,1.23398,1.22338,0.49352,0.43007,0.40406,0.19839,1.66065,1.37571,1.22739,0.000698066,0.000698066,0.000698066
33,729.931,1.62201,1.21312,1.2112,0.50249,0.47748,0.41437,0.20966,1.67704,1.41845,1.25333,0.000674488,0.000674488,0.000674488
