epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1365.46,1.92867,1.52087,1.12713,0.51868,0.44945,0.43197,0.22516,1.7923,1.60434,1.17756,0.000462281,0.000462281,0.000462281
43,1397.3,1.95172,1.51835,1.11715,0.5105,0.456,0.4323,0.22459,1.77062,1.59981,1.16292,0.000438703,0.000438703,0.000438703
44,1429.13,1.94147,1.49507,1.10533,0.51228,0.45766,0.43518,0.23491,1.76898,1.59164,1.16896,0.000415124,0.000415124,0.000415124
45,1461,1.9655,1.51483,1.11439,0.49997,0.46925,0.42467,0.22713,1.75745,1.62618,1.17261,0.000391546,0.000391546,0.000391546
46,1492.53,1.93309,1.48942,1.10926,0.49973,0.46509,0.42342,0.22796,1.72948,1.60114,1.15651,0.000367967,0.000367967,0.000367967
47,1524.13,1.92482,1.48455,1.10694,0.51436,0.46328,0.42661,0.22299,1.76124,1.60759,1.16783,0.000344389,0.000344389,0.000344389
48,1555.08,1.91893,1.47846,1.10634,0.52267,0.46916,0.43727,0.23324,1.7361,1.58975,1.15333,0.00032081,0.00032081,0.00032081
49,1586.53,1.93038,1.47698,1.10657,0.49671,0.47381,0.4293,0.23109,1.76163,1.6304,1.16661,0.000297232,0.000297232,0.000297232
50,1617.79,1.93032,1.48648,1.11064,0.50138,0.46423,0.43506,0.23503,1.74501,1.61369,1.15181,0.000273654,0.000273654,0.000273654
51,1662.83,1.84181,1.37914,1.10104,0.51165,0.47667,0.4428,0.23936,1.74438,1.58483,1.15238,0.000250075,0.000250075,0.000250075
52,1692.68,1.8188,1.35626,1.09182,0.52232,0.45616,0.43401,0.22918,1.76668,1.58413,1.16326,0.000226497,0.000226497,0.000226497
53,1722.48,1.81733,1.34634,1.09328,0.51337,0.46684,0.43907,0.23837,1.73387,1.56856,1.15277,0.000202918,0.000202918,0.000202918
54,1752.11,1.80172,1.3212,1.09039,0.54689,0.45925,0.45319,0.24326,1.74216,1.54149,1.16264,0.00017934,0.00017934,0.00017934
55,1781.96,1.79751,1.32852,1.09305,0.5253,0.47451,0.44939,0.24189,1.74473,1.54375,1.16233,0.000155761,0.000155761,0.000155761
56,1811.82,1.81972,1.32451,1.08614,0.54625,0.46143,0.4478,0.24299,1.73248,1.54027,1.15441,0.000132183,0.000132183,0.000132183
57,1841.51,1.7957,1.31007,1.08388,0.53622,0.46777,0.44833,0.24481,1.72866,1.53472,1.16095,0.000108604,0.000108604,0.000108604
58,1871.3,1.78544,1.30523,1.0863,0.52084,0.46992,0.44961,0.24576,1.72929,1.53728,1.15798,8.50255e-05,8.50255e-05,8.50255e-05
59,1901.35,1.81233,1.31237,1.08328,0.54773,0.47275,0.45878,0.2492,1.71994,1.53979,1.15301,6.1447e-05,6.1447e-05,6.1447e-05
60,1931.27,1.79119,1.29724,1.08104,0.54801,0.46996,0.45554,0.24868,1.71567,1.53646,1.14711,3.78685e-05,3.78685e-05,3.78685e-05
