timestamp,device_label,model,imgsz,format,device,threads,elapsed_s,window_idx,frames,fps_window,lat_p50_ms,lat_p95_ms,temp_c,freq_mhz,throttled_flags,rss_mb
2026-08-14T11:22:02+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,2.372,1,30,12.651,80.025,99.248,58.4,2400.0,,987.938
2026-08-14T11:22:04+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,4.62,2,30,13.416,77.204,90.257,59.5,2400.0,,993.047
2026-08-14T11:22:06+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,6.758,3,30,14.05,67.814,92.691,61.7,2400.0,,998.578
2026-08-14T11:22:08+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,9.05,4,30,13.1,80.683,88.098,62.25,2400.0,,997.094
2026-08-14T11:22:11+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,11.488,5,30,12.317,78.741,95.66,63.35,2400.0,,997.094
2026-08-14T11:22:13+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,13.931,6,30,12.296,79.44,94.914,64.45,2400.0,,997.109
2026-08-14T11:22:16+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,16.231,7,30,13.055,81.14,85.992,64.45,2400.0,,996.797
2026-08-14T11:22:18+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,18.298,8,30,14.53,65.674,81.866,65.55,2400.0,,995.484
2026-08-14T11:22:20+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,20.495,9,30,13.673,68.49,81.138,65.0,2400.0,,998.672
2026-08-14T11:22:22+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,22.786,10,30,13.104,80.264,86.49,66.1,2400.0,,1000.172
2026-08-14T11:22:24+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,24.97,11,30,13.755,75.78,89.538,66.65,2400.0,,995.484
2026-08-14T11:22:26+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,27.182,12,30,13.579,78.408,80.92,66.1,2400.0,,998.672
2026-08-14T11:22:29+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,29.578,13,30,12.529,81.272,94.348,66.65,2400.0,,997.172
2026-08-14T11:22:31+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,32.081,14,30,11.998,81.118,92.69,68.3,2400.0,,997.172
2026-08-14T11:22:34+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,34.486,15,30,12.491,81.119,101.582,67.75,2400.0,,997.172
2026-08-14T11:22:36+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,36.661,16,30,13.803,68.417,93.191,68.3,2400.0,,996.859
2026-08-14T11:22:38+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,38.813,17,30,13.961,68.306,82.388,67.75,2400.0,,1000.234
2026-08-14T11:22:41+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,41.274,18,30,12.2,80.945,105.811,67.2,2400.0,,998.734
2026-08-14T11:22:43+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,43.42,19,30,13.998,70.16,88.884,67.2,2400.0,,997.172
2026-08-14T11:22:45+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,45.614,20,30,13.686,69.847,92.648,68.85,2400.0,,997.172
2026-08-14T11:22:47+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,47.987,21,30,12.658,81.555,93.302,68.3,2400.0,,997.188
2026-08-14T11:22:50+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,50.509,22,30,11.907,81.352,95.578,68.3,2400.0,,997.188
2026-08-14T11:22:52+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,52.991,23,30,12.097,80.546,98.724,68.3,2400.0,,997.188
2026-08-14T11:22:54+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,55.189,24,30,13.665,76.026,91.49,69.4,2400.0,,996.875
2026-08-14T11:22:57+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,57.228,25,30,14.727,66.9,82.565,69.95,2400.0,,995.562
2026-08-14T11:22:59+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,59.624,26,30,12.534,81.131,96.929,68.85,2400.0,,997.203
2026-08-14T11:23:01+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,61.891,27,30,13.252,76.044,100.028,69.95,2400.0,,997.047
2026-08-14T11:23:03+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,64.019,28,30,14.11,69.057,83.471,68.85,2400.0,,1000.281
2026-08-14T11:23:06+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,66.323,29,30,13.035,80.6,93.587,68.3,2400.0,,997.219
2026-08-14T11:23:08+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,68.832,30,30,11.971,81.145,101.339,69.95,2400.0,,997.234
2026-08-14T11:23:11+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,71.434,31,30,11.541,81.297,110.683,69.95,2400.0,,996.781
2026-08-14T11:23:13+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,73.737,32,30,13.042,80.725,84.294,69.95,2400.0,,995.438
2026-08-14T11:23:15+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,75.88,33,30,14.009,67.975,86.609,68.85,2400.0,,995.547
2026-08-14T11:23:17+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,78.087,34,30,13.609,77.891,89.772,69.4,2400.0,,998.734
2026-08-14T11:23:20+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,80.325,35,30,13.423,78.195,88.813,70.5,2400.0,,997.219
2026-08-14T11:23:22+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,82.466,36,30,14.023,74.795,82.75,71.6,2400.0,,1000.297
2026-08-14T11:23:24+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,84.74,37,30,13.211,79.046,85.681,69.95,2400.0,,998.812
2026-08-14T11:23:26+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,87.084,38,30,12.808,78.921,89.25,68.85,2400.0,,997.25
2026-08-14T11:23:29+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,89.566,39,30,12.1,81.089,96.927,69.4,2400.0,,997.266
2026-08-14T11:23:31+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,92.016,40,30,12.26,81.951,97.125,70.5,2400.0,,997.25
2026-08-14T11:23:34+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,94.222,41,30,13.614,68.697,84.065,69.95,2400.0,,990.391
2026-08-14T11:23:36+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,96.373,42,30,13.962,67.777,97.269,70.5,2400.0,,995.562
2026-08-14T11:23:38+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,98.761,43,30,12.576,79.903,96.981,69.95,2400.0,,995.609
2026-08-14T11:23:40+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,100.922,44,30,13.895,75.091,85.763,71.05,2400.0,,998.797
2026-08-14T11:23:42+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,103.106,45,30,13.757,67.419,88.53,69.95,2400.0,,1000.297
2026-08-14T11:23:45+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,105.49,46,30,12.593,81.373,88.187,71.6,2400.0,,997.234
2026-08-14T11:23:47+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,107.957,47,30,12.174,81.177,98.029,71.05,2400.0,,995.609
2026-08-14T11:23:50+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,110.438,48,30,12.105,81.371,98.059,71.6,2400.0,,997.234
2026-08-14T11:23:52+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,112.648,49,30,13.587,74.832,84.681,71.6,2400.0,,996.922
2026-08-14T11:23:54+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,114.75,50,30,14.29,68.153,80.599,71.6,2400.0,,995.234
2026-08-14T11:23:56+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,117.142,51,30,12.556,80.544,95.896,71.05,2400.0,,995.625
2026-08-14T11:23:59+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,119.364,52,30,13.516,75.773,92.08,72.15,2400.0,,997.094
2026-08-14T11:24:01+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,121.511,53,30,13.987,68.158,82.455,70.5,2400.0,,996.953
2026-08-14T11:24:03+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,123.832,54,30,12.947,81.005,88.606,70.5,2400.0,,997.422
2026-08-14T11:24:06+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,126.324,55,30,12.051,81.498,97.157,71.05,2400.0,,997.438
2026-08-14T11:24:08+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,128.795,56,30,12.152,81.096,94.988,72.15,2400.0,,997.453
2026-08-14T11:24:10+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,131.047,57,30,13.335,78.346,91.732,69.95,2400.0,,997.141
2026-08-14T11:24:12+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,133.182,58,30,14.069,68.167,84.545,70.5,2400.0,,997.156
2026-08-14T11:24:15+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,135.454,59,30,13.218,78.127,91.892,71.6,2400.0,,995.844
2026-08-14T11:24:17+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,137.725,60,30,13.225,80.761,98.978,71.05,2400.0,,1000.203
2026-08-14T11:24:19+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,139.889,61,30,13.876,75.843,82.549,71.6,2400.0,,995.844
2026-08-14T11:24:21+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,142.111,62,30,13.517,78.201,88.495,72.7,2400.0,,997.469
2026-08-14T11:24:24+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,144.483,63,30,12.662,80.741,83.399,71.6,2400.0,,997.469
2026-08-14T11:24:26+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,146.994,64,30,11.956,81.637,95.66,71.05,2400.0,,997.469
2026-08-14T11:24:29+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,149.45,65,30,12.228,81.464,100.427,71.05,2400.0,,997.5
2026-08-14T11:24:31+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,151.623,66,30,13.823,68.002,90.268,71.6,2400.0,,997.172
2026-08-14T11:24:33+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,153.77,67,30,13.988,67.935,81.833,71.05,2400.0,,999.047
2026-08-14T11:24:35+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,156.201,68,30,12.352,81.006,99.218,71.6,2400.0,,999.625
2026-08-14T11:24:38+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,158.333,69,30,14.09,69.711,82.244,71.05,2400.0,,1000.531
2026-08-14T11:24:40+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,160.538,70,30,13.616,68.342,86.368,71.05,2400.0,,997.469
2026-08-14T11:24:42+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,162.909,71,30,12.67,81.343,85.628,71.05,2400.0,,997.469
2026-08-14T11:24:45+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,165.396,72,30,12.074,81.257,98.201,71.05,2400.0,,997.469
2026-08-14T11:24:47+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,167.86,73,30,12.187,80.907,85.329,71.05,2400.0,,997.469
2026-08-14T11:24:49+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,170.069,74,30,13.598,70.432,83.569,72.7,2400.0,,997.172
2026-08-14T11:24:51+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,172.148,75,30,14.441,68.197,84.368,71.05,2400.0,,995.859
2026-08-14T11:24:54+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,174.571,76,30,12.396,81.691,87.925,71.05,2400.0,,997.484
2026-08-14T11:24:56+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,176.764,77,30,13.697,73.254,98.002,73.25,2400.0,,997.484
2026-08-14T11:24:58+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,178.888,78,30,14.137,69.203,87.407,72.7,2400.0,,995.859
2026-08-14T11:25:01+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,181.254,79,30,12.693,81.292,99.158,71.6,2400.0,,995.875
2026-08-14T11:25:03+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,183.706,80,30,12.251,80.821,101.457,71.6,2400.0,,997.5
2026-08-14T11:25:05+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,186.208,81,30,12.0,81.181,91.69,71.6,2400.0,,997.5
2026-08-14T11:25:08+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,188.507,82,30,13.063,80.714,99.217,72.15,2400.0,,995.875
2026-08-14T11:25:10+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,190.662,83,30,13.937,68.118,92.67,73.8,2400.0,,995.875
2026-08-14T11:25:12+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,192.905,84,30,13.392,73.367,82.734,71.05,2400.0,,1000.562
2026-08-14T11:25:14+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,195.193,85,30,13.124,80.743,90.828,72.7,2400.0,,997.5
2026-08-14T11:25:17+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,197.354,86,30,13.897,75.789,89.045,71.6,2400.0,,997.5
2026-08-14T11:25:19+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,199.595,87,30,13.407,79.005,82.755,72.15,2400.0,,997.5
2026-08-14T11:25:21+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,201.988,88,30,12.545,80.65,98.296,72.15,2400.0,,997.5
2026-08-14T11:25:24+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,204.504,89,30,11.938,81.131,103.974,71.05,2400.0,,997.5
2026-08-14T11:25:26+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,206.926,90,30,12.399,81.241,99.811,71.6,2400.0,,995.875
2026-08-14T11:25:28+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,209.081,91,30,13.936,68.734,82.023,73.8,2400.0,,995.875
2026-08-14T11:25:31+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,211.219,92,30,14.048,67.49,81.999,73.8,2400.0,,997.312
2026-08-14T11:25:33+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,213.588,93,30,12.677,80.941,88.986,72.15,2400.0,,999.031
2026-08-14T11:25:35+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,215.762,94,30,13.815,69.411,93.081,71.05,2400.0,,997.484
2026-08-14T11:25:37+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo11n.pt,320,pytorch,cpu,4,217.942,95,30,13.774,69.924,91.144,71.6,2400.0,,995.875
