epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,2185.76,1.65207,0.94615,0.00522,0.73191,0.62258,0.64403,0.4024,1.32658,0.87594,0.00714,0.00019293,0.00019293,0.00019293
43,2234.05,1.65411,0.95162,0.00529,0.72664,0.62626,0.64482,0.40348,1.32455,0.86311,0.00704,0.00018843,0.00018843,0.00018843
44,2281.85,1.65733,0.94174,0.00528,0.7293,0.62651,0.64512,0.40482,1.32133,0.85718,0.00704,0.000183894,0.000183894,0.000183894
45,2329.1,1.6582,0.93922,0.00526,0.72573,0.62732,0.64483,0.40262,1.32596,0.89092,0.00703,0.000179326,0.000179326,0.000179326
46,2377.01,1.65423,0.93409,0.00516,0.73362,0.6264,0.64562,0.40385,1.31504,0.88145,0.00702,0.000174731,0.000174731,0.000174731
47,2424.92,1.65495,0.94402,0.00523,0.71901,0.63022,0.64309,0.40185,1.34225,0.87438,0.00723,0.000170112,0.000170112,0.000170112
48,2472.51,1.66298,0.94218,0.00523,0.72974,0.62993,0.64751,0.40464,1.3165,0.88234,0.00705,0.000165475,0.000165475,0.000165475
49,2519.77,1.67493,0.94648,0.00526,0.72896,0.62867,0.64704,0.40489,1.32792,0.8562,0.00718,0.000160824,0.000160824,0.000160824
50,2568.03,1.6372,0.93306,0.00523,0.72814,0.62779,0.64614,0.40327,1.33194,0.88837,0.00708,0.000156164,0.000156164,0.000156164
51,2615.8,1.6531,0.93025,0.00523,0.72642,0.62961,0.64594,0.40458,1.3244,0.86926,0.00708,0.0001515,0.0001515,0.0001515
52,2663.75,1.6452,0.92994,0.00517,0.7313,0.62846,0.6456,0.40521,1.31538,0.8541,0.00701,0.000146836,0.000146836,0.000146836
53,2711.59,1.64192,0.93377,0.00513,0.72485,0.63216,0.64584,0.40243,1.33369,0.8657,0.00715,0.000142176,0.000142176,0.000142176
54,2759.07,1.64352,0.92746,0.00524,0.73446,0.62727,0.64663,0.40482,1.32437,0.85239,0.00707,0.000137525,0.000137525,0.000137525
55,2806.62,1.65455,0.9361,0.00525,0.73005,0.62946,0.64838,0.40575,1.32672,0.85453,0.00709,0.000132888,0.000132888,0.000132888
56,2854.88,1.63335,0.92584,0.00509,0.73909,0.62565,0.64555,0.40536,1.32046,0.8676,0.00699,0.000128269,0.000128269,0.000128269
57,2902.21,1.63407,0.91474,0.00523,0.73005,0.63009,0.64569,0.4059,1.3178,0.8605,0.00703,0.000123674,0.000123674,0.000123674
58,2950.33,1.65049,0.93107,0.00518,0.73491,0.6285,0.64692,0.40689,1.31723,0.85883,0.00706,0.000119106,0.000119106,0.000119106
59,2998.07,1.63018,0.91492,0.0051,0.73684,0.62587,0.64528,0.40435,1.32621,0.86531,0.00707,0.00011457,0.00011457,0.00011457
60,3046.54,1.63151,0.92736,0.00503,0.72777,0.62832,0.64579,0.40518,1.31814,0.85431,0.00703,0.00011007,0.00011007,0.00011007
61,3094.48,1.62876,0.91551,0.00514,0.72857,0.6256,0.64493,0.40585,1.31203,0.85475,0.00697,0.000105611,0.000105611,0.000105611
62,3142.26,1.63861,0.92024,0.00501,0.72918,0.62531,0.64427,0.40615,1.31623,0.85722,0.00699,0.000101197,0.000101197,0.000101197
63,3190.23,1.61311,0.91158,0.00508,0.72923,0.63148,0.6476,0.4057,1.31882,0.85258,0.00703,9.68335e-05,9.68335e-05,9.68335e-05
64,3239.47,1.60657,0.90336,0.00493,0.73011,0.63129,0.64612,0.40497,1.31446,0.85186,0.007,9.25235e-05,9.25235e-05,9.25235e-05
65,3287.38,1.61921,0.9114,0.0051,0.72389,0.63266,0.64669,0.40626,1.31372,0.85462,0.00699,8.82718e-05,8.82718e-05,8.82718e-05
66,3334.73,1.62484,0.91704,0.00519,0.72583,0.631,0.64698,0.40609,1.32021,0.86379,0.00704,8.40824e-05,8.40824e-05,8.40824e-05
67,3382.83,1.60103,0.89895,0.005,0.73136,0.62931,0.64596,0.40566,1.32194,0.86408,0.00709,7.99596e-05,7.99596e-05,7.99596e-05
68,3433.85,1.62627,0.91248,0.0051,0.72141,0.63522,0.64649,0.40612,1.31124,0.86871,0.00697,7.59073e-05,7.59073e-05,7.59073e-05
69,3489.38,1.63025,0.91735,0.00501,0.73041,0.63306,0.64693,0.40579,1.31728,0.87045,0.00706,7.19297e-05,7.19297e-05,7.19297e-05
70,3544.52,1.63168,0.91183,0.00507,0.72925,0.63386,0.64763,0.40658,1.31168,0.86628,0.007,6.80306e-05,6.80306e-05,6.80306e-05
71,3599.66,1.62989,0.91405,0.00498,0.72582,0.63415,0.64678,0.40669,1.31227,0.86392,0.007,6.42139e-05,6.42139e-05,6.42139e-05
72,3654.51,1.62949,0.91752,0.00506,0.72666,0.63349,0.64781,0.40679,1.31373,0.86595,0.007,6.04833e-05,6.04833e-05,6.04833e-05
73,3710.01,1.63486,0.92058,0.00508,0.72855,0.63371,0.64811,0.40713,1.31366,0.861,0.00702,5.68425e-05,5.68425e-05,5.68425e-05
74,3765.88,1.60613,0.90531,0.00495,0.72851,0.63169,0.64758,0.40623,1.31295,0.86093,0.00703,5.32952e-05,5.32952e-05,5.32952e-05
75,3821.01,1.62532,0.90975,0.00506,0.72878,0.6337,0.64754,0.40699,1.31116,0.8586,0.007,4.98448e-05,4.98448e-05,4.98448e-05
76,3875.89,1.63474,0.91398,0.00508,0.72803,0.63233,0.64675,0.40631,1.31351,0.85596,0.00703,4.64946e-05,4.64946e-05,4.64946e-05
77,3930.75,1.62209,0.91047,0.00502,0.72894,0.63265,0.64713,0.40684,1.31448,0.86031,0.00702,4.32482e-05,4.32482e-05,4.32482e-05
78,3985.92,1.62626,0.90933,0.00508,0.7254,0.63425,0.64734,0.40702,1.31301,0.86418,0.00699,4.01085e-05,4.01085e-05,4.01085e-05
79,4041.09,1.63567,0.91607,0.00494,0.72499,0.6349,0.64759,0.40691,1.31054,0.86417,0.00699,3.70788e-05,3.70788e-05,3.70788e-05
80,4096.82,1.60133,0.90044,0.00495,0.72743,0.63293,0.64661,0.4062,1.31098,0.86635,0.00698,3.4162e-05,3.4162e-05,3.4162e-05
81,4152.11,1.6273,0.91132,0.00501,0.72775,0.63313,0.6469,0.40596,1.31224,0.86572,0.00698,3.1361e-05,3.1361e-05,3.1361e-05
82,4206.97,1.60583,0.89457,0.00499,0.72744,0.63363,0.6472,0.40654,1.30988,0.86722,0.00697,2.86785e-05,2.86785e-05,2.86785e-05
83,4261.64,1.62195,0.90425,0.00503,0.72678,0.63446,0.64748,0.40614,1.3095,0.86929,0.00698,2.61173e-05,2.61173e-05,2.61173e-05
84,4317.1,1.6079,0.90129,0.00493,0.72749,0.6341,0.64662,0.40556,1.31187,0.871,0.00698,2.36798e-05,2.36798e-05,2.36798e-05
85,4372.29,1.61339,0.91046,0.00497,0.72897,0.633,0.64674,0.40584,1.31455,0.86989,0.00701,2.13685e-05,2.13685e-05,2.13685e-05
86,4427.51,1.6034,0.89352,0.00504,0.73113,0.63289,0.64773,0.40585,1.31441,0.86289,0.00704,1.91855e-05,1.91855e-05,1.91855e-05
87,4483.17,1.60269,0.90315,0.0049,0.73019,0.6322,0.64695,0.40619,1.3141,0.86736,0.00702,1.71332e-05,1.71332e-05,1.71332e-05
88,4538.39,1.61572,0.90613,0.00502,0.72841,0.63312,0.64691,0.40591,1.31347,0.86934,0.00701,1.52134e-05,1.52134e-05,1.52134e-05
89,4593.8,1.59218,0.88858,0.005,0.72845,0.63352,0.64708,0.40606,1.31203,0.86993,0.00699,1.34282e-05,1.34282e-05,1.34282e-05
90,4648.68,1.61599,0.91015,0.00502,0.7278,0.63318,0.64735,0.40616,1.31133,0.8689,0.00699,1.17792e-05,1.17792e-05,1.17792e-05
91,4714.37,1.54381,0.83247,0.0053,0.72714,0.63366,0.64636,0.40577,1.31177,0.87112,0.00698,1.02681e-05,1.02681e-05,1.02681e-05
92,4769.02,1.51606,0.81441,0.00522,0.72859,0.63329,0.64538,0.40454,1.31464,0.87315,0.00699,8.89639e-06,8.89639e-06,8.89639e-06
93,4823.17,1.51833,0.81361,0.00515,0.72779,0.63398,0.64476,0.40384,1.31792,0.87335,0.00702,7.6654e-06,7.6654e-06,7.6654e-06
94,4877.54,1.51503,0.81836,0.00524,0.72758,0.63406,0.64486,0.40319,1.31942,0.87545,0.00703,6.57636e-06,6.57636e-06,6.57636e-06
95,4932.06,1.51426,0.81526,0.00513,0.72829,0.63297,0.64453,0.40305,1.32061,0.87711,0.00704,5.63034e-06,5.63034e-06,5.63034e-06
96,4985.77,1.53388,0.81165,0.00523,0.72933,0.6334,0.6444,0.40326,1.3192,0.87283,0.00704,4.82828e-06,4.82828e-06,4.82828e-06
97,5040.24,1.51894,0.8158,0.00522,0.73091,0.6333,0.64443,0.40348,1.31886,0.87179,0.00704,4.17097e-06,4.17097e-06,4.17097e-06
98,5094.35,1.51109,0.80824,0.00521,0.73035,0.63207,0.64439,0.40364,1.3171,0.87046,0.00704,3.65905e-06,3.65905e-06,3.65905e-06
99,5148.23,1.51349,0.80981,0.00514,0.73008,0.63252,0.64436,0.40352,1.31715,0.86992,0.00704,3.29303e-06,3.29303e-06,3.29303e-06
100,5202.56,1.52072,0.81129,0.00526,0.73057,0.63267,0.64447,0.40364,1.31674,0.86943,0.00704,3.07328e-06,3.07328e-06,3.07328e-06
