timestamp,device_label,model,imgsz,format,device,threads,elapsed_s,window_idx,frames,fps_window,lat_p50_ms,lat_p95_ms,temp_c,freq_mhz,throttled_flags
2026-08-25T11:20:15+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,1.381,1,30,21.724,43.016,48.643,50.7,2400.0,
2026-08-25T11:20:17+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,2.824,2,30,20.835,42.972,71.419,52.9,2400.0,
2026-08-25T11:20:18+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,4.132,3,30,22.976,42.962,48.418,54.0,2400.0,
2026-08-25T11:20:20+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,5.588,4,30,20.643,42.834,76.619,52.9,2400.0,
2026-08-25T11:20:21+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,7.038,5,30,20.713,43.256,84.573,55.1,2400.0,
2026-08-25T11:20:22+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,8.355,6,30,22.82,43.25,45.247,55.1,2400.0,
2026-08-25T11:20:24+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,9.786,7,30,21.0,43.166,45.368,56.2,2400.0,
2026-08-25T11:20:25+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,11.166,8,30,21.779,43.169,46.468,56.2,2400.0,
2026-08-25T11:20:27+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,12.49,9,30,22.699,43.125,46.379,55.65,2400.0,
2026-08-25T11:20:28+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,13.864,10,30,21.874,42.749,46.406,56.2,2400.0,
2026-08-25T11:20:29+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,15.264,11,30,21.461,42.858,46.234,56.2,2400.0,
2026-08-25T11:20:31+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,16.563,12,30,23.136,43.013,45.043,56.2,2400.0,
2026-08-25T11:20:32+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,17.96,13,30,21.511,43.203,61.291,56.75,2400.0,
2026-08-25T11:20:33+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,19.275,14,30,22.851,43.107,45.316,57.85,2400.0,
2026-08-25T11:20:35+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,20.661,15,30,21.687,43.274,45.494,57.85,2400.0,
2026-08-25T11:20:36+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,22.154,16,30,20.131,43.579,119.664,58.4,2400.0,
2026-08-25T11:20:38+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo11n_512_ncnn_model,512,ncnn,cpu,4,23.606,17,30,20.701,43.23,66.501,57.85,2400.0,
