timestamp,device_label,model,imgsz,format,device,threads,elapsed_s,window_idx,frames,fps_window,lat_p50_ms,lat_p95_ms,temp_c,freq_mhz,throttled_flags
2026-08-25T10:36:02+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,40.645,31,30,23.856,40.723,54.083,61.7,2400.0,
2026-08-25T10:36:04+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,42.025,32,30,21.792,40.664,55.343,62.25,2400.0,
2026-08-25T10:36:05+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,43.259,33,30,24.349,40.423,45.26,61.15,2400.0,
2026-08-25T10:36:06+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,44.567,34,30,23.06,40.195,42.135,61.15,2400.0,
2026-08-25T10:36:07+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,45.889,35,30,22.729,40.232,63.921,62.25,2400.0,
2026-08-25T10:36:09+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,47.224,36,30,24.335,40.224,44.99,61.7,2400.0,
2026-08-25T10:36:10+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,48.56,37,30,22.501,40.417,55.705,61.7,2400.0,
2026-08-25T10:36:12+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,50.027,38,30,20.491,40.561,60.28,62.8,2400.0,
2026-08-25T10:36:13+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,51.263,39,30,24.306,40.478,44.057,62.25,2400.0,
2026-08-25T10:36:14+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,52.59,40,30,22.644,40.547,46.565,62.25,2400.0,
2026-08-25T10:36:15+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,53.821,41,30,24.431,40.406,44.97,62.25,2400.0,
2026-08-25T10:36:17+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,55.238,42,30,21.197,40.307,127.26,61.7,2400.0,
2026-08-25T10:36:18+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,56.534,43,30,23.198,40.304,46.841,62.8,2400.0,
2026-08-25T10:36:19+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,57.751,44,30,24.695,40.3,42.269,63.35,2400.0,
2026-08-25T10:36:21+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,59.047,45,30,23.189,40.442,43.513,62.25,2400.0,
2026-08-25T10:36:22+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,60.447,46,30,21.464,40.597,113.288,62.8,2400.0,
2026-08-25T10:36:23+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,61.684,47,30,24.292,40.602,42.917,61.7,2400.0,
2026-08-25T10:36:24+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,62.981,48,30,23.173,40.73,59.927,62.8,2400.0,
2026-08-25T10:36:26+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,64.208,49,30,24.494,40.598,42.51,62.25,2400.0,
2026-08-25T10:36:27+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,65.526,50,30,22.814,40.496,63.524,63.9,2400.0,
2026-08-25T10:36:28+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,66.845,51,30,22.775,40.458,49.258,61.15,2400.0,
2026-08-25T10:36:30+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,68.089,52,30,24.166,40.49,43.613,61.7,2400.0,
2026-08-25T10:36:31+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,69.391,53,30,23.086,40.405,50.078,63.9,2400.0,
2026-08-25T10:36:32+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,70.863,54,30,20.411,40.483,66.572,63.9,2400.0,
2026-08-25T10:36:34+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,72.135,55,30,23.624,40.715,49.995,64.45,2400.0,
2026-08-25T10:36:35+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,73.432,56,30,23.172,40.68,44.663,63.35,2400.0,
2026-08-25T10:36:36+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,74.655,57,30,24.586,40.488,42.728,62.25,2400.0,
2026-08-25T10:36:37+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,75.972,58,30,22.819,40.448,71.084,63.9,2400.0,
2026-08-25T10:36:39+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,77.272,59,30,23.119,40.437,46.132,64.45,2400.0,
2026-08-25T10:36:40+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,78.503,60,30,24.408,40.396,43.622,63.9,2400.0,
2026-08-25T10:36:41+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,79.826,61,30,22.73,40.277,49.364,63.9,2400.0,
2026-08-25T10:36:43+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,81.143,62,30,22.885,40.386,64.326,62.8,2400.0,
2026-08-25T10:36:44+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,82.392,63,30,24.067,40.511,47.409,63.35,2400.0,
2026-08-25T10:36:45+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,83.758,64,30,22.0,40.595,51.498,64.45,2400.0,
2026-08-25T10:36:47+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,85.033,65,30,23.575,40.472,42.455,62.8,2400.0,
2026-08-25T10:36:48+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,86.349,66,30,22.828,40.612,43.106,64.45,2400.0,
2026-08-25T10:36:49+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,87.649,67,30,23.128,40.456,50.664,62.25,2400.0,
2026-08-25T10:36:50+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,88.88,68,30,24.415,40.381,43.556,65.0,2400.0,
2026-08-25T10:36:52+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,90.261,69,30,21.76,40.604,77.819,65.0,2400.0,
2026-08-25T10:36:53+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,91.744,70,30,20.253,40.569,68.331,63.9,2400.0,
2026-08-25T10:36:54+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,92.975,71,30,24.419,40.675,42.719,63.9,2400.0,
2026-08-25T10:36:56+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,94.299,72,30,22.712,40.681,44.241,63.9,2400.0,
2026-08-25T10:36:57+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,95.541,73,30,24.197,40.5,42.697,63.35,2400.0,
2026-08-25T10:36:58+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,96.913,74,30,21.902,40.6,51.474,65.0,2400.0,
2026-08-25T10:37:00+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,98.224,75,30,22.928,40.827,71.317,64.45,2400.0,
2026-08-25T10:37:01+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,99.439,76,30,24.742,40.21,42.01,63.9,2400.0,
2026-08-25T10:37:02+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,100.724,77,30,23.387,40.266,72.442,64.45,2400.0,
2026-08-25T10:37:03+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,101.952,78,30,24.468,40.336,44.461,66.1,2400.0,
2026-08-25T10:37:05+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,103.259,79,30,23.006,40.361,82.642,65.55,2400.0,
2026-08-25T10:37:06+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,104.548,80,30,23.306,40.462,57.979,65.0,2400.0,
2026-08-25T10:37:07+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,105.815,81,30,23.734,40.532,57.715,64.45,2400.0,
2026-08-25T10:37:09+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,107.142,82,30,22.644,40.581,52.694,65.0,2400.0,
2026-08-25T10:37:10+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,108.438,83,30,23.196,40.494,43.977,63.9,2400.0,
2026-08-25T10:37:11+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,109.66,84,30,24.591,40.268,42.029,63.9,2400.0,
2026-08-25T10:37:13+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,111.268,85,30,18.686,40.551,124.529,63.9,2400.0,
2026-08-25T10:37:14+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,112.662,86,30,21.557,40.275,54.908,64.45,2400.0,
2026-08-25T10:37:15+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,113.895,87,30,24.387,40.452,44.672,63.9,2400.0,
