epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1296.36,1.87706,1.38593,0.00685,0.56008,0.49354,0.48617,0.25539,1.76226,1.44712,0.00948,0.000462281,0.000462281,0.000462281
43,1326.75,1.89714,1.37861,0.00669,0.55099,0.49594,0.49602,0.26342,1.71616,1.42146,0.00912,0.000438703,0.000438703,0.000438703
44,1357.19,1.89163,1.36297,0.00642,0.53222,0.50904,0.49603,0.2696,1.71844,1.41024,0.009,0.000415124,0.000415124,0.000415124
45,1387.76,1.91209,1.38134,0.00656,0.55264,0.5028,0.4868,0.26438,1.70894,1.42325,0.00916,0.000391546,0.000391546,0.000391546
46,1417.96,1.88038,1.36191,0.00643,0.55248,0.52325,0.49616,0.26641,1.68489,1.40056,0.00897,0.000367967,0.000367967,0.000367967
47,1448.22,1.8772,1.3579,0.00649,0.56526,0.50238,0.50117,0.26644,1.69937,1.38946,0.00887,0.000344389,0.000344389,0.000344389
48,1478.43,1.86318,1.35522,0.00637,0.5486,0.51637,0.50531,0.27628,1.68714,1.3715,0.00885,0.00032081,0.00032081,0.00032081
49,1509.13,1.88026,1.34436,0.00649,0.54797,0.52028,0.50002,0.2712,1.68706,1.40292,0.009,0.000297232,0.000297232,0.000297232
50,1539.34,1.87916,1.34865,0.00659,0.56368,0.52562,0.51149,0.27766,1.69642,1.35925,0.00887,0.000273654,0.000273654,0.000273654
51,1588.92,1.7902,1.2474,0.00654,0.56537,0.51644,0.49742,0.26688,1.72491,1.42468,0.00914,0.000250075,0.000250075,0.000250075
52,1618.26,1.76887,1.22326,0.00634,0.57588,0.51739,0.51268,0.27896,1.71003,1.3685,0.00911,0.000226497,0.000226497,0.000226497
53,1647.51,1.76102,1.20907,0.00629,0.57669,0.52891,0.52048,0.28815,1.69055,1.34936,0.00896,0.000202918,0.000202918,0.000202918
54,1676.61,1.73938,1.19671,0.00623,0.57992,0.51574,0.51599,0.27775,1.70256,1.36607,0.00908,0.00017934,0.00017934,0.00017934
55,1705.62,1.73975,1.19353,0.00627,0.59062,0.51208,0.51297,0.28027,1.69355,1.36256,0.00892,0.000155761,0.000155761,0.000155761
56,1734.77,1.76333,1.1992,0.00614,0.57745,0.52128,0.51714,0.28309,1.6856,1.35008,0.00877,0.000132183,0.000132183,0.000132183
57,1763.84,1.73368,1.18045,0.00609,0.59007,0.51776,0.51709,0.2817,1.6836,1.35626,0.00886,0.000108604,0.000108604,0.000108604
58,1792.85,1.73307,1.18023,0.0062,0.58816,0.51879,0.51886,0.28422,1.68043,1.35059,0.00898,8.50255e-05,8.50255e-05,8.50255e-05
59,1822.07,1.75395,1.18832,0.00603,0.58801,0.52469,0.51967,0.28282,1.68689,1.35959,0.00901,6.1447e-05,6.1447e-05,6.1447e-05
60,1851.08,1.73506,1.17349,0.00606,0.57862,0.52814,0.51984,0.2852,1.68669,1.36158,0.00901,3.78685e-05,3.78685e-05,3.78685e-05
