timestamp,gpu_index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw
2026-08-18T21:16:03+00:00,0,2,1565,12282,51,29.69
2026-08-18T21:16:08+00:00,0,0,1587,12282,49,21.72
2026-08-18T21:16:13+00:00,0,0,1587,12282,48,19.97
2026-08-18T21:16:18+00:00,0,0,1587,12282,47,19.61
2026-08-18T21:16:23+00:00,0,0,1587,12282,46,19.45
2026-08-18T21:16:28+00:00,0,0,1587,12282,46,19.20
2026-08-18T21:16:34+00:00,0,0,1587,12282,46,19.10
2026-08-18T21:16:39+00:00,0,60,3775,12282,46,24.82
2026-08-18T21:16:44+00:00,0,12,5745,12282,46,27.97
2026-08-18T21:16:49+00:00,0,63,9005,12282,57,122.91
2026-08-18T21:16:54+00:00,0,77,9957,12282,65,152.00
2026-08-18T21:16:59+00:00,0,78,10899,12282,68,150.38
2026-08-18T21:17:04+00:00,0,71,10899,12282,66,149.12
2026-08-18T21:17:09+00:00,0,85,10899,12282,69,152.58
2026-08-18T21:17:14+00:00,0,85,10899,12282,70,155.02
2026-08-18T21:17:19+00:00,0,75,7611,12282,61,120.35
2026-08-18T21:17:25+00:00,0,77,7635,12282,69,153.10
2026-08-18T21:17:30+00:00,0,81,8655,12282,68,153.26
2026-08-18T21:17:35+00:00,0,81,9487,12282,70,156.13
2026-08-18T21:17:40+00:00,0,97,10285,12282,70,158.59
2026-08-18T21:17:45+00:00,0,85,10285,12282,69,159.88
2026-08-18T21:17:50+00:00,0,33,3443,12282,64,153.50
2026-08-18T21:17:55+00:00,0,86,7431,12282,68,154.47
2026-08-18T21:18:00+00:00,0,77,8733,12282,72,156.27
2026-08-18T21:18:05+00:00,0,83,8733,12282,68,160.88
2026-08-18T21:18:10+00:00,0,83,8733,12282,71,158.05
2026-08-18T21:18:16+00:00,0,88,8733,12282,71,158.11
2026-08-18T21:18:21+00:00,0,80,8733,12282,71,159.66
2026-08-18T21:18:26+00:00,0,82,6707,12282,72,151.59
2026-08-18T21:18:31+00:00,0,82,8813,12282,70,158.55
2026-08-18T21:18:36+00:00,0,81,8815,12282,73,158.53
2026-08-18T21:18:41+00:00,0,84,8815,12282,70,159.95
2026-08-18T21:18:46+00:00,0,75,8815,12282,69,160.10
2026-08-18T21:18:51+00:00,0,80,8815,12282,74,157.57
2026-08-18T21:18:56+00:00,0,91,6859,12282,70,131.79
2026-08-18T21:19:01+00:00,0,87,6859,12282,71,160.18
2026-08-18T21:19:06+00:00,0,87,10697,12282,73,159.98
2026-08-18T21:19:11+00:00,0,84,10699,12282,70,158.12
2026-08-18T21:19:17+00:00,0,86,10699,12282,71,156.94
2026-08-18T21:19:22+00:00,0,91,10699,12282,73,161.51
2026-08-18T21:19:27+00:00,0,89,6887,12282,70,128.11
2026-08-18T21:19:32+00:00,0,93,9785,12282,73,161.67
2026-08-18T21:19:37+00:00,0,77,9785,12282,71,161.28
2026-08-18T21:19:42+00:00,0,80,10545,12282,70,159.84
2026-08-18T21:19:47+00:00,0,79,10545,12282,73,159.77
2026-08-18T21:19:52+00:00,0,84,10545,12282,70,159.65
2026-08-18T21:19:57+00:00,0,76,6731,12282,70,155.17
2026-08-18T21:20:02+00:00,0,79,9785,12282,72,157.85
2026-08-18T21:20:07+00:00,0,79,9785,12282,72,157.87
2026-08-18T21:20:12+00:00,0,83,9785,12282,74,160.96
2026-08-18T21:20:18+00:00,0,73,9785,12282,73,160.43
2026-08-18T21:20:23+00:00,0,80,9785,12282,71,159.99
2026-08-18T21:20:28+00:00,0,95,7382,12282,71,132.50
2026-08-18T21:20:33+00:00,0,84,9072,12282,73,158.61
2026-08-18T21:20:38+00:00,0,85,9072,12282,73,152.83
2026-08-18T21:20:43+00:00,0,87,9072,12282,71,158.17
2026-08-18T21:20:48+00:00,0,93,9077,12282,71,156.81
2026-08-18T21:20:53+00:00,0,72,9077,12282,72,149.89
2026-08-18T21:20:58+00:00,0,11,7599,12282,61,119.25
2026-08-18T21:21:03+00:00,0,74,7982,12282,68,158.20
2026-08-18T21:21:08+00:00,0,82,10862,12282,72,154.53
2026-08-18T21:21:13+00:00,0,78,10862,12282,72,156.29
2026-08-18T21:21:19+00:00,0,89,10862,12282,70,155.04
2026-08-18T21:21:24+00:00,0,77,10862,12282,68,154.92
2026-08-18T21:21:29+00:00,0,95,7584,12282,65,117.88
